	PD_whole_tree	shannon	chao1	simpson	observed_otus
MCT.f.0138	82.0	3.5246252236	15.0	0.90048	15.0
MCT.f.0139	107.0	3.80545134778	23.5	0.907402092029	22.0
MCT.f.0140	79.0	3.15947682533	15.0	0.850913261773	15.0
MCT.f.0142	91.0	3.72371941609	20.0	0.909038763434	19.0
MCT.f.0143	97.0	3.58007931447	20.0	0.886514975066	19.0
MCT.f.0006	118.0	3.82888654097	24.0	0.89131841716	24.0
MCT.f.0602	69.0	3.21866494001	13.0	0.871228373702	13.0
MCT.f.0108	115.0	3.75200769721	23.0	0.896108617827	23.0
MCT.f.0109	90.0	3.72250188536	20.0	0.903945447664	20.0
MCT.f.0375	83.0	3.50422422649	17.0	0.881471142221	17.0
MCT.f.0376	91.0	3.4613718605	20.0	0.871668054977	20.0
MCT.f.0377	91.0	3.40316330627	18.0	0.875078481328	18.0
MCT.f.0379	110.0	3.79752071433	22.0	0.906855190343	22.0
MCT.f.0380	119.0	3.8846024111	23.0	0.915006280947	23.0
MCT.f.0431	93.0	3.04837477996	18.0	0.819422532181	18.0
MCT.f.0547	92.0	2.88660639534	18.0	0.802959746974	17.0
MCT.f.0550	92.0	3.76758888276	19.0	0.917122583146	18.0
MCT.f.0551	96.0	3.72823463695	20.0	0.896990949506	20.0
MCT.f.0613	51.0	2.73222926061	10.0	0.79577815027	10.0
MCT.f.0615	55.0	2.75589405344	10.0	0.820887736841	10.0
MCT.f.0618	55.0	3.00032174621	10.0	0.868015677166	10.0
MCT.f.0126	101.0	3.68513009784	24.5	0.89725436955	23.0
MCT.f.0243	71.0	3.30173934518	14.0	0.884792340857	14.0
MCT.f.0041	100.0	3.67237448231	22.0	0.889526530409	22.0
MCT.f.0330	90.0	3.19475286165	20.5	0.852849226476	19.0
MCT.f.0411	55.0	2.86277540942	10.0	0.832178113842	10.0
MCT.f.0412	60.0	3.06263817235	12.0	0.858647154027	12.0
MCT.f.0413	51.0	2.49049771678	9.0	0.745171658145	9.0
MCT.f.0056	105.0	4.00011491258	24.0	0.922214540466	24.0
MCT.f.0378	99.0	3.65653337546	19.0	0.900877371027	19.0
MCT.f.0409	61.0	2.86534003565	11.0	0.832993503122	11.0
MCT.f.0410	81.0	3.49263132597	16.0	0.890596349193	16.0
MCT.f.0141	64.0	2.88740411604	13.5	0.825742121028	13.0
MCT.f.0483	68.0	2.9563028914	15.5	0.834972993827	14.0
MCT.f.0053	103.0	3.51776941238	22.0	0.860540358556	22.0
MCT.f.0262	68.0	3.26602438651	15.0	0.864763138546	15.0
MCT.f.0087	29.0	2.02815740149	5.0	0.712333714055	5.0
MCT.f.0091	46.0	2.04857485721	8.0	0.667359661717	8.0
MCT.f.0092	29.0	1.92177617038	5.0	0.677463096829	5.0
MCT.f.0137	79.0	2.62703539536	16.0	0.735161093899	16.0
MCT.f.0343	42.0	2.24608305204	8.0	0.743148148148	8.0
MCT.f.0597	59.0	2.63511914226	12.5	0.773373812335	12.0
MCT.f.0325	91.0	3.18246833588	28.0	0.856381843234	18.0
MCT.f.0326	94.0	3.41337090811	20.5	0.873013608138	20.0
MCT.f.0327	64.0	2.82922995992	15.0	0.818282526815	12.0
MCT.f.0328	117.0	4.05581825952	25.5	0.924952779423	25.0
MCT.f.0329	105.0	3.56961333507	21.3333333333	0.883722429403	21.0
MCT.f.0395	63.0	2.77784907439	12.0	0.795057721184	12.0
MCT.f.0511	64.0	3.04090712964	12.0	0.846553692687	12.0
MCT.f.0513	157.0	4.545133112	34.3333333333	0.942968206742	34.0
