	PD_whole_tree	shannon	chao1	simpson	observed_otus
MCT.f.0353	22.0	2.0	10.0	0.75	4.0
MCT.f.0370	28.0	2.35538854221	7.5	0.777777777778	6.0
MCT.f.0387	21.0	1.55460976127	4.0	0.577777777778	4.0
MCT.f.0415	11.0	0.811278124459	2.0	0.375	2.0
MCT.f.0047	17.0	1.22857638003	3.0	0.544217687075	3.0
MCT.f.0371	54.0	3.13957226199	20.5	0.871111111111	10.0
MCT.f.0437	18.0	1.01011906806	3.0	0.381656804734	3.0
MCT.f.0048	12.0	0.994030211477	2.0	0.495867768595	2.0
MCT.f.0304	14.0	1.86312056857	4.0	0.704081632653	4.0
MCT.f.0321	46.0	2.93934861295	15.0	0.844993141289	10.0
MCT.f.0349	31.0	2.3804304878	6.0	0.782006920415	6.0
MCT.f.0364	33.0	2.15927680423	6.5	0.725623582766	6.0
MCT.f.0369	24.0	1.84643934467	4.0	0.7	4.0
MCT.f.0424	19.0	1.83659166811	4.0	0.691358024691	4.0
MCT.f.0426	37.0	2.62581458369	10.0	0.819444444444	7.0
MCT.f.0206	17.0	1.45914791703	3.0	0.611111111111	3.0
MCT.f.0422	14.0	1.29546184424	3.0	0.54	3.0
MCT.f.0244	16.0	1.5	3.5	0.625	3.0
MCT.f.0255	14.0	1.52192809489	3.0	0.64	3.0
MCT.f.0097	29.0	1.85206062541	5.0	0.647928994083	5.0
MCT.f.0538	29.0	1.93012496531	5.5	0.684444444444	5.0
MCT.f.0359	27.0	2.25162916739	8.0	0.777777777778	5.0
MCT.f.0054	40.0	2.67101111303	8.33333333333	0.814814814815	8.0
MCT.f.0112	64.0	3.1701366811	12.0	0.859523125539	12.0
MCT.f.0159	11.0	0.970950594455	2.0	0.48	2.0
MCT.f.0210	11.0	0.721928094887	2.0	0.32	2.0
MCT.f.0213	31.0	2.41829583405	6.25	0.791666666667	6.0
MCT.f.0227	33.0	2.26056729565	7.33333333333	0.727705112961	7.0
MCT.f.0233	46.0	3.18418371978	21.5	0.87	11.0
MCT.f.0296	41.0	2.70370169606	14.0	0.825	8.0
MCT.f.0313	45.0	2.86382639009	8.25	0.851851851852	8.0
MCT.f.0350	26.0	2.13909765557	5.0	0.75	5.0
MCT.f.0355	52.0	3.12808527889	38.0	0.867346938776	10.0
MCT.f.0423	22.0	1.48383170684	4.0	0.540816326531	4.0
MCT.f.0524	34.0	2.24059215662	10.0	0.734651404787	7.0
MCT.f.0416	22.0	1.68581570915	4.0	0.628099173554	4.0
MCT.f.0421	23.0	1.61433083516	5.0	0.627218934911	4.0
MCT.f.0035	35.0	2.52821294584	7.33333333333	0.8	7.0
MCT.f.0036	52.0	2.82192809489	13.75	0.795	10.0
MCT.f.0037	64.0	3.5646852674	16.5	0.903114186851	14.0
MCT.f.0038	68.0	3.32903662755	15.0	0.864250946458	14.0
MCT.f.0039	49.0	2.99939818235	11.75	0.831790123457	11.0
MCT.f.0040	49.0	2.96558393573	31.0	0.842105263158	10.0
MCT.f.0042	40.0	2.81630751922	8.16666666667	0.837370242215	8.0
MCT.f.0043	42.0	2.875	8.16666666667	0.8515625	8.0
MCT.f.0046	40.0	2.97355726228	11.5	0.853333333333	9.0
MCT.f.0051	37.0	2.91099225302	8.0	0.858131487889	8.0
MCT.f.0058	53.0	2.50219749263	15.0	0.772290809328	10.0
MCT.f.0088	23.0	1.88791850267	4.0	0.708333333333	4.0
MCT.f.0096	23.0	1.67290559532	4.0	0.631111111111	4.0
MCT.f.0101	22.0	1.77207725374	4.0	0.685185185185	4.0
MCT.f.0102	38.0	2.52439747035	8.0	0.796875	7.0
MCT.f.0157	40.0	2.48904075956	7.0	0.778827977316	7.0
MCT.f.0234	25.0	2.11328333429	5.0	0.740740740741	5.0
MCT.f.0249	38.0	2.68924642851	7.33333333333	0.835555555556	7.0
MCT.f.0253	23.0	1.78992907531	4.0	0.677685950413	4.0
MCT.f.0290	23.0	1.97095059445	4.0	0.74	4.0
MCT.f.0291	12.0	1.0	2.0	0.5	2.0
MCT.f.0292	24.0	1.75271527898	5.0	0.666666666667	4.0
MCT.f.0293	18.0	1.57095059445	3.0	0.66	3.0
MCT.f.0297	34.0	1.98082593623	6.5	0.652892561983	6.0
MCT.f.0306	17.0	1.04085208297	3.0	0.402777777778	3.0
MCT.f.0308	24.0	2.13393756609	5.0	0.745562130178	5.0
MCT.f.0391	36.0	2.67095059445	14.0	0.815	8.0
MCT.f.0482	22.0	1.84643934467	4.0	0.7	4.0
MCT.f.0531	17.0	1.24067053168	3.0	0.512396694215	3.0
MCT.f.0532	27.0	2.15887184845	5.0	0.755	5.0
MCT.f.0535	34.0	2.31764000597	6.0	0.768595041322	6.0
